Bacteroides caccae,Bacteroides stercoris,Bacteroides eggerthii,Bacteroides uniformis,Bacteroides thetaiotaomicron,Bacteroides xylanisolvens,Bacteroides nordii,Bacteroides ovatus,Bacteroides fragilis,Bacteroides sp. DH3716P,Bacteroides sp. M10,Bacteroides sp. D2,Bacteroides sp. CACC 737,Bacteroides sp. A1C1,Bacteroides sp. HF-162,Bacteroides sp. ZJ-18,Bacteroides sp. PHL 2737,Bacteroides sp. BFG-637,Bacteroides helcogenes,uncultured Bacteroides sp.,Bacteroides salyersiae,Bacteroides intestinalis,Bacteroides cellulosilyticus,Bacteroides faecis,Bacteroides heparinolyticus,Bacteroides faecium,Bacteroides zoogleoformans,Bacteroides luhongzhouii,Bacteroides caecimuris,Bacteroides zhangwenhongii,Bacteroides humanifaecis,Bacteroides graminisolvens,Bacteroides finegoldii,Bacteroides coprosuis,Phocaeicola vulgatus,Phocaeicola dorei,Phocaeicola coprophilus,Phocaeicola salanitronis,Phocaeicola sartorii,Parabacteroides distasonis,Parabacteroides johnsonii,Parabacteroides goldsteinii,Parabacteroides chongii,Parabacteroides merdae,Parabacteroides faecis,Parabacteroides sp. CT06,Tannerella forsythia,Tannerella serpentiformis,Segatella copri,Segatella hominis,Segatella oris,Segatella bryantii,Segatella baroniae,Prevotella sp. Rep29,Prevotella sp. E13-17,Prevotella sp. E9-3,Prevotella sp. E15-22,Prevotella sp. oral taxon 475,Prevotella sp. E2-28,Prevotella sp. oral taxon 299,Prevotella melaninogenica,Prevotella dentalis,Prevotella communis,Prevotella intermedia,Prevotella denticola,Prevotella jejuni,Prevotella fusca,Prevotella multiformis,Prevotella bivia,Prevotella nigrescens,Prevotella herbatica,Prevotella corporis,Prevotella histicola,Prevotella veroralis,Prevotella scopos,Paraprevotella clara,Paraprevotella xylaniphila,Hoylesella buccalis,Hoylesella enoeca,Xylanibacter ruminicola,Pseudoprevotella muciniphila,Alistipes shahii,Alistipes megaguti,Alistipes onderdonkii,Alistipes senegalensis,Alistipes finegoldii,Alistipes communis,Alistipes indistinctus,uncultured Alistipes sp.,Alistipes dispar,Alistipes ihumii,Alistipes sp. dk3624,uncultured Acetobacteroides sp.,Odoribacter splanchnicus,Butyricimonas paravirosa,Butyricimonas faecalis,Butyricimonas faecihominis,Butyricimonas virosa,Muribaculum gordoncarteri,Muribaculum intestinale,Duncaniella dubosii,Sodaliphilus pleomorphus
3472,789,574,5838,10922,3740,1092,197009,32243,860,906,470,587,1761,260,268,0,0,752,1062,3584,9758,779842,75834,144,640,119,443,995,577,757,120,804,12,101644,1251179,280,561,0,10064,600,136501,1723,893,3642,1767,39,43,240,72,22,187,0,17,32,45,12,13,23,11,63,36,38,150,60,23,25,21,0,73,0,32,0,46,0,145,311,39,33,31,21,4041,726,5535,1346,2006,8915,261,822,1314,260,954,38,1908,32,185,113,14,52,41,51,50
103142,53784,47721,137044,50561,87172,8266,41010,21379,62437,1801,1598,2866,2049,1494,613,31291,1789,5262,7553,6490,4110,4572,4407,3885,3068,2530,1790,1865,1680,6318,1051,887,578,429332,143929,4740,3090,128,57988,6434,2269,2866,4214,975,468,456,374,84570,14672,3958,3271,1493,6043,4710,3571,3895,3270,2602,1500,7509,7185,4985,6333,5040,3696,3365,3941,2641,2941,1742,2343,1482,1549,1372,10462,1448,6372,2111,5213,1310,3244,2567,1068,673,1452,855,5120,781,647,325,284,243,8148,992,4557,158,199,2979,659,499,1642
5805,862,554,5329,8609,4871,969,357537,31790,1085,1254,642,448,1390,304,232,0,0,656,1069,3430,9457,770398,9778,202,715,130,614,1452,632,715,108,308,15,74932,897409,371,603,0,11092,727,149847,1888,1113,3772,2337,50,82,274,84,24,176,23,36,30,44,12,35,46,0,93,63,23,217,60,21,47,31,15,40,11,28,14,41,0,162,284,48,42,54,31,2949,1110,119219,2187,6270,17863,359,1412,2027,424,366,41,1440,31,248,107,34,76,55,110,70
928,378,191,1190,3599,3881,400,374253,5765,1128,986,518,244,1105,129,173,0,0,220,303,1227,565,40643,1889,78,378,72,500,1552,382,404,43,177,0,55259,646483,423,339,0,6181,822,94688,1123,454,2175,3177,45,67,159,63,28,38,0,41,13,25,0,34,29,0,71,40,40,116,70,30,46,42,10,35,10,49,0,12,0,59,185,32,50,50,20,2419,1373,9229,2275,4267,9387,452,1644,2021,452,504,24,1059,28,133,80,28,58,39,89,86
619,351,146,1137,3351,2580,470,109108,2211,818,406,225,156,1024,133,200,0,0,253,256,1157,163,1604,1658,78,216,58,164,1341,214,414,43,90,0,54929,683265,389,304,0,6986,505,107001,1370,484,2614,2921,50,77,162,89,24,42,32,35,18,30,15,30,60,0,107,41,44,99,75,29,56,31,0,29,20,39,0,11,0,75,206,31,62,64,29,2469,1393,3930,2345,4413,9002,421,1712,1925,511,516,48,1052,32,143,49,17,101,60,60,102
5435,24895,1754,28364,7426,3945,731,28706,13677,749,510,369,2257,2950,872,187,0,0,464,1309,1325,1020,35794,37090,296,501,367,278,926,869,2424,214,4729,85,217830,36123,1203,752,0,27534,537,4734,332,56371,273,11394,90,78,298,69,33,71,41,73,51,57,32,35,54,43,235,43,108,138,64,30,51,42,23,131,28,50,30,60,40,167,253,111,60,94,61,9460,996,27662,2042,3386,6249,510,944,1193,566,2104,31,17661,3144,1318,2273,12246,76,97,128,71
16238,145805,6541,22472,11383,7351,1528,53814,18315,1142,811,726,2122,5280,998,265,0,0,884,2206,2404,3196,149344,81872,419,986,545,494,1339,2501,2893,310,14525,132,294591,47016,1848,1174,0,36644,705,4683,436,66600,378,12225,118,93,394,103,62,152,0,81,62,71,44,88,74,40,318,127,128,164,63,47,58,46,37,163,46,56,32,59,47,280,352,119,86,73,73,9145,1268,25455,3649,3650,11009,560,1153,1427,842,3202,118,30190,2977,1469,2279,11467,82,161,163,90
14480,140213,6730,19967,12009,8456,1180,80050,26754,1135,1653,1329,1680,4329,794,184,0,0,734,1706,2528,5169,324270,90847,361,912,349,654,1078,2948,2453,232,19083,119,333358,44433,1287,827,0,23062,554,3227,350,32761,367,5455,88,45,363,93,34,137,30,63,42,79,26,43,70,41,256,97,100,197,69,57,61,31,27,144,45,48,39,126,57,243,272,130,63,88,38,10243,711,22329,3394,3158,4724,475,623,956,306,2337,139,24927,2592,1181,1828,9527,89,143,127,76
20222,482404,21135,48603,17075,13849,2135,76530,28599,1732,1849,1465,4733,9854,2205,339,0,0,1568,2435,3672,5245,205884,131643,583,1238,794,820,1663,3976,6907,386,25110,146,264059,76640,2306,1491,0,86725,957,7307,595,89041,517,27648,153,97,520,112,61,223,0,85,81,98,46,93,81,41,437,97,141,303,111,68,87,35,58,181,57,52,38,108,73,458,621,175,108,98,77,19352,1500,66844,4341,6700,10841,892,1113,1543,800,2779,102,48979,5899,2798,4365,22886,141,199,254,101
17301,174398,8473,68197,15521,11946,1933,58058,26003,1602,1439,1114,3683,8562,1993,377,1660,0,1317,3296,3572,5086,254876,99222,678,1608,748,766,1672,4431,4917,517,27429,225,459947,122963,2651,1640,0,33228,1545,3389,562,44478,488,11369,157,71,519,124,70,197,0,105,95,132,48,96,78,63,339,113,154,255,81,72,76,49,46,165,55,37,39,138,61,389,476,214,117,80,104,13346,1200,41061,4319,4371,7666,904,1065,1357,792,3928,122,41543,6356,2690,4607,24060,111,218,242,103
153723,3326,1615,987705,86177,836565,805,181881,92048,25657,2848,2957,43663,3074,10977,279,0,0,654,671,3902,236,7872,7003,335,2285,2879,6384,4196,1469,6988,28,1617,51,35490,786374,28871,4108,0,30849,5865,382,338,1717,144,660,81,161,649,104,152,71,0,52,33,49,53,23,45,23,126,57,123,139,93,64,219,50,21,126,39,31,33,23,25,2563,443,47,80,182,36,6101,2651,6820,4406,7062,12283,690,2903,3484,1667,829,129,40165,75,2896,323,3101,148,555,78,69
116352,587,1627,1653919,112009,619674,770,177231,76750,19694,2252,2132,69725,4340,12000,177,0,0,1073,486,3762,206,8897,5798,341,1769,1852,4887,3330,1234,11543,29,1012,35,22024,414238,19259,5080,0,41588,7216,426,363,1705,153,665,61,146,530,101,208,38,0,34,13,18,54,14,24,15,73,32,131,107,93,41,320,28,15,149,28,17,25,19,11,2008,465,33,46,159,12,5511,2472,6339,4096,6449,10934,612,2493,3106,1619,756,137,33422,61,2007,178,5071,93,169,59,43
97444,40532,36333,150765,54848,113528,3798,37350,21587,46181,1328,1355,2033,2088,1446,431,38281,3192,3644,4594,4809,3902,3428,3042,2752,2104,1690,1626,1391,1333,4479,664,668,314,708704,106142,2791,1997,91,57728,7413,2143,2139,2234,630,601,338,261,51551,8819,2411,1882,899,3625,2688,2239,2355,2032,1536,833,4520,4535,3149,4046,3296,2099,2111,2486,1529,1571,1043,1434,804,849,857,11876,899,3980,1294,3307,773,4706,2710,1218,883,1569,1147,2894,733,572,325,255,119,5342,993,3041,214,119,8574,440,338,982
50726,462,1006,463970,69233,533700,447,109169,87322,15842,1988,2103,19558,1837,6933,209,0,0,389,407,3306,112,5768,4830,191,1281,2872,4062,2645,1028,3413,24,858,38,34760,955009,25801,3044,0,23115,2325,252,209,917,118,424,40,100,310,63,91,55,0,27,25,26,46,10,46,17,92,43,58,82,52,64,101,19,0,58,29,15,21,12,0,1295,336,36,50,210,18,4209,1888,4734,3036,4819,8251,479,1925,2264,1223,584,73,20191,54,2802,189,2240,92,151,37,46
156304,508,1614,1668844,54003,434200,621,109362,61124,14183,1598,1451,72141,4648,11682,78,0,0,1064,469,3211,257,8253,4356,381,1339,1335,3524,2063,950,11429,31,744,62,17416,294363,13969,4322,0,40313,7469,336,317,1487,98,192,33,94,324,67,202,0,0,21,0,13,20,0,23,12,79,20,81,71,89,41,329,14,27,108,22,18,29,14,12,3697,471,98,27,61,12,2018,956,2041,1482,2183,3913,189,816,884,539,247,96,11647,25,1163,103,5951,85,131,33,29
34113,453,1063,1026442,53895,506186,781,246611,52489,16608,2565,1869,46529,2859,8942,142,0,0,635,419,2508,155,6267,4167,237,1250,1517,4099,2631,1195,7112,12,820,44,17181,406538,16719,2876,0,26472,4430,311,183,1106,107,302,22,93,307,38,129,0,0,13,0,11,29,13,28,0,45,16,57,62,75,37,181,13,10,71,17,20,17,0,0,662,303,35,29,56,12,2899,1287,3106,2028,3155,5806,328,1259,1523,803,341,77,18130,35,1475,126,3446,69,468,29,30
100304,397,1234,1228545,38973,300781,732,219503,45264,11345,1887,1257,56200,3297,9731,148,0,0,717,339,2393,202,6318,3092,221,1019,1191,2640,1740,955,8679,16,626,45,14656,297327,13701,2876,0,30905,5472,275,196,1195,103,104,36,45,271,47,136,0,0,10,0,18,11,0,11,0,51,0,79,30,58,37,202,0,11,60,45,0,13,0,0,2200,324,33,11,53,0,1060,476,997,648,1010,1897,111,419,539,263,119,64,13247,18,974,103,4539,70,177,15,21
156236,295,612,456141,32573,330299,359,87772,76815,11083,1350,1229,18403,1307,5003,80,0,0,323,367,1930,80,3294,2839,153,1192,1283,2644,1501,620,3112,13,575,43,12235,315343,14119,1665,0,14867,850,153,112,635,75,74,36,32,225,41,70,0,0,20,11,30,14,24,35,62,201,18,45,344,120,124,130,24,1479,126,65,236,56,34,30,2861,192,668,29,89,0,485,234,474,311,581,836,49,202,235,143,82,44,2612,15,938,48,1753,53,359,20,27
122427,501,1380,845530,73616,639454,734,201371,80660,21328,2873,2344,35552,2976,9784,217,0,0,652,521,3636,173,6840,5917,275,1949,3436,5101,3122,1313,5900,13,1125,36,34470,1021555,30472,3764,0,32046,2927,289,259,1349,125,128,30,44,304,48,118,0,0,11,0,0,16,0,19,19,85,11,60,40,37,55,187,0,0,64,40,15,25,0,0,1686,347,12,29,121,0,1646,706,1700,1148,2002,2885,159,693,846,432,203,72,19518,37,2692,167,3399,80,1558,20,18
123960,421,1578,1311151,87421,160227,578,176003,46153,7408,1162,804,60944,2762,11831,91,0,0,751,317,2514,191,6741,2658,293,862,1308,1529,1242,845,8025,10,368,35,18967,414194,14709,2851,0,30472,1763,325,176,1618,81,470,45,111,309,69,140,0,0,16,0,0,21,0,14,20,48,18,91,78,69,34,250,20,18,87,25,14,31,0,0,2144,394,35,32,44,13,3195,1438,3386,2368,3656,7047,341,1338,1650,896,409,73,10987,21,1563,106,4658,73,263,33,37
138551,445,1058,819697,73973,103237,1143,493551,61898,7169,2796,1149,39050,3118,11029,232,0,0,576,334,2229,172,6287,2727,243,1201,1230,1718,1399,1271,7884,17,479,33,15934,379545,20060,2635,0,27016,2067,389,182,945,142,570,29,118,324,47,94,21,0,28,0,0,38,0,0,0,37,22,53,80,43,46,166,28,11,99,19,19,16,17,0,2252,339,31,45,74,18,4459,1977,5108,3191,5133,8684,461,2030,2378,1280,576,72,6221,14,1491,216,2161,80,415,58,26
92645,414,1312,1294831,64263,211373,537,103157,50280,8262,1143,824,54256,3477,9190,122,0,0,759,309,2577,168,6428,2970,240,803,1435,1889,1366,760,8493,13,385,42,19285,393476,13166,3455,0,32942,5603,233,222,1299,46,238,36,74,323,56,158,0,0,0,0,0,18,0,19,10,49,19,98,61,74,25,260,18,0,80,35,16,25,0,0,1398,336,40,21,52,12,2364,1082,2621,1752,2653,4651,228,996,1293,634,307,80,15312,18,1560,141,4839,78,158,25,27
1411,1240,1086,8833,8682,13524,811,3824,3296,3897,559,144,613,356,394,0,2279,0,702,1345,1111,506,1030,1386,613,517,867,162,290,586,967,291,185,163,15555,1736,1560,709,0,4149,8554,582,446,3386,269,1902,496,293,974921,145210,1013,1911,1215,1487,1129,1108,1069,888,954,352,5634,2775,1414,2071,1472,1332,706,798,2197,705,699,1379,319,468,342,5852,1230,1910,546,1576,603,851,1521,753,1549,1172,676,476,351,342,2038,246,207,1474,1053,2694,1106,3305,885,744,696,1242
51772,797,821,452624,61422,58443,9996,256720,37037,5773,11534,11605,2842,4827,4461,81,0,0,557,645,1493,21289,56652,2664,197,4216,236,2923,2551,2814,3142,74,1452,37,62601,526725,270,391,0,37793,1361,300,184,66042,796,3289,34,46,351,32,16,56,0,18,0,30,0,13,22,20,126,17,50,75,27,39,12,0,0,46,17,15,0,0,53,62,238,0,80,39,14,231,23,31120,305,7912,293,17,48,87,19,28,0,328,1396,1150,1121,12278,25,63,134,32
119676,769,1285,496894,52928,101789,4914,112993,25337,4969,4882,5031,4008,5402,5462,84,0,0,663,615,1959,21958,84549,2370,250,1714,286,1864,2122,1381,4292,70,761,40,7402,408928,162,272,0,15643,465,280,124,18036,694,1867,39,45,238,21,0,60,0,27,0,38,0,13,15,0,131,0,25,88,14,18,14,0,18,42,16,0,0,0,57,55,115,0,94,33,0,275,26,44936,311,8118,237,38,27,91,17,38,0,287,812,998,926,7270,16,33,151,11
108267,851,1176,664995,143114,101831,16777,46037,28990,3953,1718,1903,2678,6152,5501,77,0,0,720,644,2040,25807,69310,3586,280,2374,290,1221,1996,785,4126,55,468,44,14104,569409,147,241,0,17234,329,323,157,19315,1253,1986,33,54,269,14,15,45,0,11,0,31,0,0,19,0,102,0,34,103,0,18,0,0,0,37,16,0,0,14,91,73,116,18,114,33,0,371,16,51174,359,10864,107,32,42,74,18,49,10,494,2275,1829,1823,19334,13,22,136,13
75279,902,4201,670723,65027,94709,11359,71033,37212,4410,2741,2924,27372,11262,26506,493,0,0,776,667,2189,27876,60756,2273,419,1773,269,1286,1901,960,16880,104,492,79,14140,648086,240,330,0,25902,664,652,294,23923,1390,3449,21,20,260,20,11,65,0,17,30,23,21,22,25,0,110,22,56,68,16,44,62,0,12,14,21,11,0,0,44,200,200,80,25,35,18,445,41,78465,492,16921,1280,46,29,253,10,21,0,245,1947,1833,1506,15642,33,11,166,60
105773,1259,4882,689505,82940,74781,18238,106571,82370,4318,4344,4494,27379,10938,30960,683,0,0,1288,1117,2703,24606,148933,3142,475,3831,391,1694,2235,1651,15872,137,740,92,21170,1530544,447,559,0,79523,1269,1139,646,85036,5162,10510,56,30,417,29,17,110,0,27,34,25,21,24,34,28,197,23,73,163,46,44,49,16,26,41,31,20,13,0,44,209,397,112,33,30,13,1291,67,203750,1340,64166,1230,52,68,355,31,14,13,599,2442,2469,2316,20888,31,24,346,55
2757,34416,6282,384683,19442,11144,1647,19575,78969,5124,3014,2552,7487,7186,7085,487,4534,4173,923,1076,5759,1027,4797,62110,761,899,640,1293,927,1130,9086,166,439,62,821921,262230,1318,1942,56,208434,1876,968,626,2681,382,3294,115,78,4020,494,476,285,204,742,383,634,461,379,528,288,746,747,469,1021,512,370,250,509,197,533,428,467,337,234,253,316,968,878,493,610,189,15934,1697,11580,1450,7995,4053,452,1082,1337,624,301,39,8506,43,200,268,4635,218,221,390,392
41787,1191,3858,482658,93963,143843,19333,60910,34312,5844,2188,2322,20234,8692,19949,503,0,0,927,1156,2198,31905,192391,2827,502,4218,393,1788,2113,986,12459,133,685,91,14344,557712,244,337,0,28952,414,775,390,23382,3134,3533,29,27,278,26,12,67,0,33,27,43,19,10,36,14,181,22,61,134,29,31,40,14,14,17,25,25,0,0,47,119,196,38,17,43,13,584,44,102627,593,23018,1117,57,35,195,23,17,11,189,1725,1522,1495,14678,28,23,418,50
17868,600,2091,246981,69389,95855,7892,32883,32838,3744,1222,1350,9712,3923,10432,265,0,0,517,512,1051,17818,68549,2019,216,2263,192,1055,1184,563,5998,78,431,27,12524,416818,169,208,0,37631,436,710,479,30992,4051,3257,22,16,283,32,18,61,0,14,13,24,11,15,13,14,89,0,34,84,40,24,36,0,13,0,16,0,0,0,64,64,174,16,18,23,12,661,36,84972,620,28025,584,40,29,122,23,20,10,254,1806,1306,1504,16715,16,12,149,36
37044,888,3173,350165,173681,191846,28179,93451,52254,7633,3417,3827,15215,6301,15544,409,0,0,748,835,1981,44670,97255,4138,358,3079,282,2270,2285,1161,9128,85,826,58,10548,501251,208,285,0,36732,398,1434,1214,12900,8674,2587,31,19,263,25,14,64,0,21,11,42,23,23,19,0,148,13,52,130,21,19,28,0,0,0,23,0,0,0,128,129,146,0,0,22,11,410,23,54683,435,16771,778,41,35,128,21,16,33,216,1458,1308,1198,12917,24,26,150,29
75708,2660,5105,366715,388076,809816,122221,122685,55807,26460,3217,3863,18606,7026,23137,870,0,0,2165,2677,4655,165536,499698,10535,976,4697,842,7071,6073,1589,9494,300,1891,167,20915,1044859,319,458,0,299394,1640,3608,3713,3251,25031,14023,53,30,397,30,14,125,0,65,0,32,37,20,32,12,230,0,57,390,47,60,43,0,77,0,66,18,0,0,346,159,181,36,17,42,14,443,17,63685,354,6504,980,116,24,258,35,37,0,539,1799,1733,1624,18846,31,13,854,27
10079,1338,1973,50679,115169,100192,46622,28851,70988,3603,814,810,10583,1154,11162,227,0,0,1429,1377,1861,105200,270018,3436,444,1317,384,1323,1218,614,1708,167,492,57,26208,1522200,281,346,0,577785,1513,2823,2958,1509,21048,22501,20,17,326,29,11,62,0,18,0,21,0,17,18,0,158,0,58,163,17,22,0,0,30,0,30,0,0,0,113,74,85,12,25,22,0,552,20,101849,399,4810,217,51,13,148,24,15,13,775,585,1005,1151,11324,29,0,438,15
37248,404,1042,176370,70021,19553,19648,126788,48893,2509,5141,5269,5931,2810,12182,121,0,0,561,401,1025,10414,15459,1848,130,1648,114,1321,1084,1436,3737,53,667,38,21175,1276450,264,414,0,61672,719,548,480,25827,4148,8336,25,15,230,30,0,46,0,24,0,20,0,10,23,10,161,12,40,57,24,42,13,12,23,0,27,12,19,0,36,90,164,28,17,26,0,847,39,197757,752,18785,331,33,34,168,0,22,0,682,1206,1367,1637,11455,25,40,46,30
50804,428,1711,275207,36061,10821,27900,52364,40163,1704,2271,2269,10097,4324,11755,218,0,0,391,344,1120,4251,10021,1289,141,2421,103,606,880,795,6280,45,342,35,13649,670454,203,326,0,25414,453,531,327,21262,2412,3975,27,27,239,23,12,65,0,23,12,39,13,19,25,13,101,23,38,53,30,35,29,28,24,0,16,21,0,11,23,101,165,79,21,40,15,1169,50,255469,995,28177,892,41,80,200,11,35,13,481,2299,1799,2210,19802,41,45,82,39
33855,536,1327,142577,71122,40721,26493,88382,43508,2921,3925,3854,5270,2404,7908,133,0,0,524,571,1104,17112,65701,1919,153,3134,177,1247,1170,1036,3545,53,581,37,7643,668362,157,277,0,34987,433,658,536,15210,5088,3604,32,10,203,20,11,35,0,13,0,30,0,11,27,0,103,0,27,101,12,21,13,0,11,0,21,0,0,0,44,59,114,0,19,14,0,581,22,95171,550,16983,294,27,31,135,0,16,10,439,1358,1080,1267,12136,20,20,136,24
